date,time,open,high,low,close,volume
2026-09-10,09:00,348.0,348.0,348.0,348.0,0
2026-09-10,09:02,340.5,340.5,340.5,340.5,14000
2026-09-10,09:04,338.0,338.0,338.0,338.0,10000
2026-09-10,09:06,337.0,337.0,337.0,337.0,5000
2026-09-10,09:08,331.5,331.5,331.5,331.5,5392
2026-09-10,09:10,335.5,335.5,335.5,335.5,8121
2026-09-10,09:12,341.5,341.5,341.5,341.5,7270
2026-09-10,09:14,341.5,341.5,341.5,341.5,2467
2026-09-10,09:18,338.5,338.5,338.5,338.5,1251
2026-09-10,09:20,341.0,341.0,341.0,341.0,4962
2026-09-10,09:26,340.5,340.5,340.5,340.5,1000
2026-09-10,09:28,340.0,340.0,340.0,340.0,1116
2026-09-10,09:30,340.5,340.5,340.5,340.5,4250
2026-09-10,09:32,337.0,337.0,337.0,337.0,11095
2026-09-10,09:34,337.0,337.0,337.0,337.0,2150
2026-09-10,09:36,338.0,338.0,338.0,338.0,1502
2026-09-10,09:40,337.5,337.5,337.5,337.5,1031
2026-09-10,09:44,338.0,338.0,338.0,338.0,1210
2026-09-10,09:46,338.0,338.0,338.0,338.0,1230
2026-09-10,09:48,340.0,340.0,340.0,340.0,3453
2026-09-10,09:50,341.0,341.0,341.0,341.0,2190
2026-09-10,09:52,343.0,343.0,343.0,343.0,4025
2026-09-10,09:54,339.0,339.0,339.0,339.0,3000
2026-09-10,09:56,342.0,342.0,342.0,342.0,2707
2026-09-10,10:02,341.0,341.0,341.0,341.0,1029
2026-09-10,10:04,340.0,340.0,340.0,340.0,1239
2026-09-10,10:06,340.0,340.0,340.0,340.0,1080
2026-09-10,10:10,340.0,340.0,340.0,340.0,2010
2026-09-10,10:12,340.0,340.0,340.0,340.0,4050
2026-09-10,10:14,340.0,340.0,340.0,340.0,1111
2026-09-10,10:16,341.0,341.0,341.0,341.0,4010
2026-09-10,10:18,341.0,341.0,341.0,341.0,2100
2026-09-10,10:20,341.0,341.0,341.0,341.0,1113
2026-09-10,10:24,341.0,341.0,341.0,341.0,5050
2026-09-10,10:26,340.0,340.0,340.0,340.0,1000
2026-09-10,10:28,340.0,340.0,340.0,340.0,1169
2026-09-10,10:32,341.0,341.0,341.0,341.0,1137
2026-09-10,10:34,341.0,341.0,341.0,341.0,1000
2026-09-10,10:36,342.0,342.0,342.0,342.0,2000
2026-09-10,10:38,343.0,343.0,343.0,343.0,1018
2026-09-10,10:40,344.0,344.0,344.0,344.0,3232
2026-09-10,10:42,343.0,343.0,343.0,343.0,1300
2026-09-10,10:44,343.0,343.0,343.0,343.0,1010
2026-09-10,10:46,344.0,344.0,344.0,344.0,1198
2026-09-10,10:48,344.0,344.0,344.0,344.0,2200
2026-09-10,10:50,345.0,345.0,345.0,345.0,2383
2026-09-10,10:52,345.5,345.5,345.5,345.5,2201
2026-09-10,10:54,345.5,345.5,345.5,345.5,1048
2026-09-10,10:56,344.5,344.5,344.5,344.5,2100
2026-09-10,10:58,344.5,344.5,344.5,344.5,1000
2026-09-10,11:00,343.5,343.5,343.5,343.5,1000
2026-09-10,11:02,345.0,345.0,345.0,345.0,2354
2026-09-10,11:06,346.0,346.0,346.0,346.0,5150
2026-09-10,11:08,348.0,348.0,348.0,348.0,7141
2026-09-10,11:10,350.0,350.0,350.0,350.0,20850
2026-09-10,11:12,352.5,352.5,352.5,352.5,21738
2026-09-10,11:14,353.0,353.0,353.0,353.0,9100
2026-09-10,11:16,353.5,353.5,353.5,353.5,4028
2026-09-10,11:18,353.5,353.5,353.5,353.5,2266
2026-09-10,11:20,353.5,353.5,353.5,353.5,7005
2026-09-10,11:24,354.0,354.0,354.0,354.0,4046
2026-09-10,11:26,353.0,353.0,353.0,353.0,6000
2026-09-10,11:28,349.5,349.5,349.5,349.5,3731
2026-09-10,11:30,348.5,348.5,348.5,348.5,3477
2026-09-10,11:32,349.0,349.0,349.0,349.0,1000
2026-09-10,11:34,350.5,350.5,350.5,350.5,5004
2026-09-10,11:36,350.0,350.0,350.0,350.0,3013
2026-09-10,11:38,349.5,349.5,349.5,349.5,1166
2026-09-10,11:40,349.0,349.0,349.0,349.0,2020
2026-09-10,11:42,349.0,349.0,349.0,349.0,1554
2026-09-10,11:44,349.0,349.0,349.0,349.0,2050
2026-09-10,11:46,348.0,348.0,348.0,348.0,3001
2026-09-10,11:48,348.0,348.0,348.0,348.0,3200
2026-09-10,11:50,348.0,348.0,348.0,348.0,2110
2026-09-10,11:52,346.5,346.5,346.5,346.5,2010
2026-09-10,11:54,348.0,348.0,348.0,348.0,2004
2026-09-10,11:56,348.0,348.0,348.0,348.0,2000
2026-09-10,11:58,348.0,348.0,348.0,348.0,1018
2026-09-10,12:00,348.0,348.0,348.0,348.0,3010
2026-09-10,12:04,348.0,348.0,348.0,348.0,1050
2026-09-10,12:06,346.5,346.5,346.5,346.5,3000
2026-09-10,12:08,346.0,346.0,346.0,346.0,2026
2026-09-10,12:10,345.5,345.5,345.5,345.5,8010
2026-09-10,12:12,345.0,345.0,345.0,345.0,2043
2026-09-10,12:14,345.0,345.0,345.0,345.0,1080
2026-09-10,12:16,345.0,345.0,345.0,345.0,1020
